datum_zacatek;datum_konec;orp_kod;mzcr_orp_kod;orp_nazev;0-14;15-59;60+;nakazeni;pocet_davek
2020-10-01 00:00:00;2020-12-31 00:00:00;6203;6403;Brno;57671;218246;101349;19757;2668
2021-01-01 00:00:00;2021-03-31 00:00:00;6203;6403;Brno;57671;218246;101349;20585;72987
2021-04-01 00:00:00;2021-06-30 00:00:00;6203;6403;Brno;57671;218246;101349;3567;233051
2021-07-01 00:00:00;2021-09-30 00:00:00;6203;6403;Brno;57671;218246;101349;985;112958
2020-10-01 00:00:00;2020-12-31 00:00:00;8119;8019;Ostrava;46624;182910;83887;20180;506
2021-01-01 00:00:00;2021-03-31 00:00:00;8119;8019;Ostrava;46624;182910;83887;17866;51727
2021-04-01 00:00:00;2021-06-30 00:00:00;8119;8019;Ostrava;46624;182910;83887;4919;188185
2021-07-01 00:00:00;2021-09-30 00:00:00;8119;8019;Ostrava;46624;182910;83887;748;88315
2020-10-01 00:00:00;2020-12-31 00:00:00;3209;3209;Plzeň;29229;111211;51980;11512;30
2021-01-01 00:00:00;2021-03-31 00:00:00;3209;3209;Plzeň;29229;111211;51980;16960;35901
2021-04-01 00:00:00;2021-06-30 00:00:00;3209;3209;Plzeň;29229;111211;51980;1594;121068
2021-07-01 00:00:00;2021-09-30 00:00:00;3209;3209;Plzeň;29229;111211;51980;667;59059
2020-10-01 00:00:00;2020-12-31 00:00:00;7107;7107;Olomouc;26878;93405;42976;9453;146
2021-01-01 00:00:00;2021-03-31 00:00:00;7107;7107;Olomouc;26878;93405;42976;11634;30972
2021-04-01 00:00:00;2021-06-30 00:00:00;7107;7107;Olomouc;26878;93405;42976;2048;92755
2021-07-01 00:00:00;2021-09-30 00:00:00;7107;7107;Olomouc;26878;93405;42976;357;50982
2020-10-01 00:00:00;2020-12-31 00:00:00;3102;3102;České Budějovice;26526;92740;41787;10336;16
2021-01-01 00:00:00;2021-03-31 00:00:00;3102;3102;České Budějovice;26526;92740;41787;9901;24880
2021-04-01 00:00:00;2021-06-30 00:00:00;3102;3102;České Budějovice;26526;92740;41787;3048;106361
2021-07-01 00:00:00;2021-09-30 00:00:00;3102;3102;České Budějovice;26526;92740;41787;576;49389
2020-10-01 00:00:00;2020-12-31 00:00:00;2105;2005;Černošice;30792;88300;31007;8261;371
2021-01-01 00:00:00;2021-03-31 00:00:00;2105;2005;Černošice;30792;88300;31007;10978;23142
2021-04-01 00:00:00;2021-06-30 00:00:00;2105;2005;Černošice;30792;88300;31007;1452;94057
2021-07-01 00:00:00;2021-09-30 00:00:00;2105;2005;Černošice;30792;88300;31007;662;57495
2020-10-01 00:00:00;2020-12-31 00:00:00;5205;5205;Hradec Králové;22630;81054;41572;10802;19
2021-01-01 00:00:00;2021-03-31 00:00:00;5205;5205;Hradec Králové;22630;81054;41572;15888;30495
2021-04-01 00:00:00;2021-06-30 00:00:00;5205;5205;Hradec Králové;22630;81054;41572;814;93726
2021-07-01 00:00:00;2021-09-30 00:00:00;5205;5205;Hradec Králové;22630;81054;41572;220;46508
2020-10-01 00:00:00;2020-12-31 00:00:00;5105;5105;Liberec;23760;83193;36572;10870;20
2021-01-01 00:00:00;2021-03-31 00:00:00;5105;5105;Liberec;23760;83193;36572;13688;23843
2021-04-01 00:00:00;2021-06-30 00:00:00;5105;5105;Liberec;23760;83193;36572;1687;85197
2021-07-01 00:00:00;2021-09-30 00:00:00;5105;5105;Liberec;23760;83193;36572;237;46789
2020-10-01 00:00:00;2020-12-31 00:00:00;5309;5309;Pardubice;20590;75755;34083;8685;24
2021-01-01 00:00:00;2021-03-31 00:00:00;5309;5309;Pardubice;20590;75755;34083;13801;20720
2021-04-01 00:00:00;2021-06-30 00:00:00;5309;5309;Pardubice;20590;75755;34083;1370;79832
2021-07-01 00:00:00;2021-09-30 00:00:00;5309;5309;Pardubice;20590;75755;34083;265;43480
2020-10-01 00:00:00;2020-12-31 00:00:00;2109;2009;Kladno;20519;72747;31192;7275;166
2021-01-01 00:00:00;2021-03-31 00:00:00;2109;2009;Kladno;20519;72747;31192;10722;19291
2021-04-01 00:00:00;2021-06-30 00:00:00;2109;2009;Kladno;20519;72747;31192;1336;77090
2021-07-01 00:00:00;2021-09-30 00:00:00;2109;2009;Kladno;20519;72747;31192;294;46367
2020-10-01 00:00:00;2020-12-31 00:00:00;4214;4214;Ústí nad Labem;18811;68045;30396;7242;114
2021-01-01 00:00:00;2021-03-31 00:00:00;4214;4214;Ústí nad Labem;18811;68045;30396;8980;17955
2021-04-01 00:00:00;2021-06-30 00:00:00;4214;4214;Ústí nad Labem;18811;68045;30396;1776;81240
2021-07-01 00:00:00;2021-09-30 00:00:00;4214;4214;Ústí nad Labem;18811;68045;30396;170;35732
2020-10-01 00:00:00;2020-12-31 00:00:00;2103;2003;Brandýs nad Labem-Stará Boleslav;23764;68201;21795;6173;151
2021-01-01 00:00:00;2021-03-31 00:00:00;2103;2003;Brandýs nad Labem-Stará Boleslav;23764;68201;21795;9399;15622
2021-04-01 00:00:00;2021-06-30 00:00:00;2103;2003;Brandýs nad Labem-Stará Boleslav;23764;68201;21795;1144;66763
2021-07-01 00:00:00;2021-09-30 00:00:00;2103;2003;Brandýs nad Labem-Stará Boleslav;23764;68201;21795;398;45704
2020-10-01 00:00:00;2020-12-31 00:00:00;2115;2015;Mladá Boleslav;17953;66542;27096;6465;19
2021-01-01 00:00:00;2021-03-31 00:00:00;2115;2015;Mladá Boleslav;17953;66542;27096;11260;14497
2021-04-01 00:00:00;2021-06-30 00:00:00;2115;2015;Mladá Boleslav;17953;66542;27096;1162;65013
2021-07-01 00:00:00;2021-09-30 00:00:00;2115;2015;Mladá Boleslav;17953;66542;27096;191;39061
2020-10-01 00:00:00;2020-12-31 00:00:00;8106;8006;Frýdek-Místek;17312;64959;28695;6728;69
2021-01-01 00:00:00;2021-03-31 00:00:00;8106;8006;Frýdek-Místek;17312;64959;28695;7341;16463
2021-04-01 00:00:00;2021-06-30 00:00:00;8106;8006;Frýdek-Místek;17312;64959;28695;1682;68821
2021-07-01 00:00:00;2021-09-30 00:00:00;8106;8006;Frýdek-Místek;17312;64959;28695;326;29550
2020-10-01 00:00:00;2020-12-31 00:00:00;4213;4213;Teplice;16442;61196;27408;5784;21
2021-01-01 00:00:00;2021-03-31 00:00:00;4213;4213;Teplice;16442;61196;27408;7443;12713
2021-04-01 00:00:00;2021-06-30 00:00:00;4213;4213;Teplice;16442;61196;27408;1753;69810
2021-07-01 00:00:00;2021-09-30 00:00:00;4213;4213;Teplice;16442;61196;27408;247;29304
2020-10-01 00:00:00;2020-12-31 00:00:00;6105;6305;Jihlava;16131;57597;26228;6773;13
2021-01-01 00:00:00;2021-03-31 00:00:00;6105;6305;Jihlava;16131;57597;26228;6213;16030
2021-04-01 00:00:00;2021-06-30 00:00:00;6105;6305;Jihlava;16131;57597;26228;1760;65115
2021-07-01 00:00:00;2021-09-30 00:00:00;6105;6305;Jihlava;16131;57597;26228;156;33632
2020-10-01 00:00:00;2020-12-31 00:00:00;8117;8017;Opava;15249;57003;27109;8106;78
2021-01-01 00:00:00;2021-03-31 00:00:00;8117;8017;Opava;15249;57003;27109;8083;16908
2021-04-01 00:00:00;2021-06-30 00:00:00;8117;8017;Opava;15249;57003;27109;1212;61230
2021-07-01 00:00:00;2021-09-30 00:00:00;8117;8017;Opava;15249;57003;27109;286;31046
2020-10-01 00:00:00;2020-12-31 00:00:00;7213;7213;Zlín;14881;54936;27999;7651;20
2021-01-01 00:00:00;2021-03-31 00:00:00;7213;7213;Zlín;14881;54936;27999;5656;17466
2021-04-01 00:00:00;2021-06-30 00:00:00;7213;7213;Zlín;14881;54936;27999;1691;64201
2021-07-01 00:00:00;2021-09-30 00:00:00;7213;7213;Zlín;14881;54936;27999;135;29902
2020-10-01 00:00:00;2020-12-31 00:00:00;7108;7108;Prostějov;15090;55389;26266;7479;31
2021-01-01 00:00:00;2021-03-31 00:00:00;7108;7108;Prostějov;15090;55389;26266;5469;14538
2021-04-01 00:00:00;2021-06-30 00:00:00;7108;7108;Prostějov;15090;55389;26266;1193;56741
2021-07-01 00:00:00;2021-09-30 00:00:00;7108;7108;Prostějov;15090;55389;26266;126;28793
2020-10-01 00:00:00;2020-12-31 00:00:00;6220;6420;Znojmo;14317;52447;24208;4342;313
2021-01-01 00:00:00;2021-03-31 00:00:00;6220;6420;Znojmo;14317;52447;24208;5840;13843
2021-04-01 00:00:00;2021-06-30 00:00:00;6220;6420;Znojmo;14317;52447;24208;1254;53390
2021-07-01 00:00:00;2021-09-30 00:00:00;6220;6420;Znojmo;14317;52447;24208;140;25798
2020-10-01 00:00:00;2020-12-31 00:00:00;7207;7207;Uherské Hradiště;13152;50887;24617;7293;22
2021-01-01 00:00:00;2021-03-31 00:00:00;7207;7207;Uherské Hradiště;13152;50887;24617;4645;15217
2021-04-01 00:00:00;2021-06-30 00:00:00;7207;7207;Uherské Hradiště;13152;50887;24617;1278;57003
2021-07-01 00:00:00;2021-09-30 00:00:00;7207;7207;Uherské Hradiště;13152;50887;24617;104;25807
2020-10-01 00:00:00;2020-12-31 00:00:00;4103;4103;Karlovy Vary;12155;48915;24950;3904;19
2021-01-01 00:00:00;2021-03-31 00:00:00;4103;4103;Karlovy Vary;12155;48915;24950;7431;20867
2021-04-01 00:00:00;2021-06-30 00:00:00;4103;4103;Karlovy Vary;12155;48915;24950;415;50504
2021-07-01 00:00:00;2021-09-30 00:00:00;4103;4103;Karlovy Vary;12155;48915;24950;220;23910
2020-10-01 00:00:00;2020-12-31 00:00:00;8108;8008;Havířov;11929;48416;24331;4971;29
2021-01-01 00:00:00;2021-03-31 00:00:00;8108;8008;Havířov;11929;48416;24331;4883;12582
2021-04-01 00:00:00;2021-06-30 00:00:00;8108;8008;Havířov;11929;48416;24331;1228;54084
2021-07-01 00:00:00;2021-09-30 00:00:00;8108;8008;Havířov;11929;48416;24331;174;22950
2020-10-01 00:00:00;2020-12-31 00:00:00;2110;2010;Kolín;13590;48020;21747;5471;22
2021-01-01 00:00:00;2021-03-31 00:00:00;2110;2010;Kolín;13590;48020;21747;9011;15106
2021-04-01 00:00:00;2021-06-30 00:00:00;2110;2010;Kolín;13590;48020;21747;771;50330
2021-07-01 00:00:00;2021-09-30 00:00:00;2110;2010;Kolín;13590;48020;21747;154;29944
2020-10-01 00:00:00;2020-12-31 00:00:00;5304;5304;Chrudim;12853;47215;22626;6399;13
2021-01-01 00:00:00;2021-03-31 00:00:00;5304;5304;Chrudim;12853;47215;22626;7980;13876
2021-04-01 00:00:00;2021-06-30 00:00:00;5304;5304;Chrudim;12853;47215;22626;1064;50944
2021-07-01 00:00:00;2021-09-30 00:00:00;5304;5304;Chrudim;12853;47215;22626;170;26950
2020-10-01 00:00:00;2020-12-31 00:00:00;4203;4203;Chomutov;12661;48147;19815;4770;8
2021-01-01 00:00:00;2021-03-31 00:00:00;4203;4203;Chomutov;12661;48147;19815;4806;12099
2021-04-01 00:00:00;2021-06-30 00:00:00;4203;4203;Chomutov;12661;48147;19815;1039;48547
2021-07-01 00:00:00;2021-09-30 00:00:00;4203;4203;Chomutov;12661;48147;19815;120;24949
2020-10-01 00:00:00;2020-12-31 00:00:00;3112;3112;Tábor;12083;44935;22544;5410;6
2021-01-01 00:00:00;2021-03-31 00:00:00;3112;3112;Tábor;12083;44935;22544;5606;13913
2021-04-01 00:00:00;2021-06-30 00:00:00;3112;3112;Tábor;12083;44935;22544;1213;54318
2021-07-01 00:00:00;2021-09-30 00:00:00;3112;3112;Tábor;12083;44935;22544;111;26116
2020-10-01 00:00:00;2020-12-31 00:00:00;7109;7109;Přerov;11297;44799;22771;6008;14
2021-01-01 00:00:00;2021-03-31 00:00:00;7109;7109;Přerov;11297;44799;22771;4982;12020
2021-04-01 00:00:00;2021-06-30 00:00:00;7109;7109;Přerov;11297;44799;22771;963;48020
2021-07-01 00:00:00;2021-09-30 00:00:00;7109;7109;Přerov;11297;44799;22771;86;20604
2020-10-01 00:00:00;2020-12-31 00:00:00;5101;5101;Česká Lípa;12304;44651;18857;4306;14
2021-01-01 00:00:00;2021-03-31 00:00:00;5101;5101;Česká Lípa;12304;44651;18857;7319;9171
2021-04-01 00:00:00;2021-06-30 00:00:00;5101;5101;Česká Lípa;12304;44651;18857;1297;42789
2021-07-01 00:00:00;2021-09-30 00:00:00;5101;5101;Česká Lípa;12304;44651;18857;76;26636
2020-10-01 00:00:00;2020-12-31 00:00:00;4202;4202;Děčín;11782;42912;20628;4496;17
2021-01-01 00:00:00;2021-03-31 00:00:00;4202;4202;Děčín;11782;42912;20628;7045;8805
2021-04-01 00:00:00;2021-06-30 00:00:00;4202;4202;Děčín;11782;42912;20628;940;49861
2021-07-01 00:00:00;2021-09-30 00:00:00;4202;4202;Děčín;11782;42912;20628;63;22186
2020-10-01 00:00:00;2020-12-31 00:00:00;4107;4107;Sokolov;11349;43414;18870;4196;8
2021-01-01 00:00:00;2021-03-31 00:00:00;4107;4107;Sokolov;11349;43414;18870;8598;13700
2021-04-01 00:00:00;2021-06-30 00:00:00;4107;4107;Sokolov;11349;43414;18870;324;43725
2021-07-01 00:00:00;2021-09-30 00:00:00;4107;4107;Sokolov;11349;43414;18870;103;22807
2020-10-01 00:00:00;2020-12-31 00:00:00;6113;6313;Třebíč;10816;42113;20291;4373;25
2021-01-01 00:00:00;2021-03-31 00:00:00;6113;6313;Třebíč;10816;42113;20291;4475;11416
2021-04-01 00:00:00;2021-06-30 00:00:00;6113;6313;Třebíč;10816;42113;20291;1085;47856
2021-07-01 00:00:00;2021-09-30 00:00:00;6113;6313;Třebíč;10816;42113;20291;206;24237
2020-10-01 00:00:00;2020-12-31 00:00:00;4209;4209;Most;11272;43697;18191;4030;10
2021-01-01 00:00:00;2021-03-31 00:00:00;4209;4209;Most;11272;43697;18191;5663;8381
2021-04-01 00:00:00;2021-06-30 00:00:00;4209;4209;Most;11272;43697;18191;1245;47213
2021-07-01 00:00:00;2021-09-30 00:00:00;4209;4209;Most;11272;43697;18191;89;20117
2020-10-01 00:00:00;2020-12-31 00:00:00;2122;2022;Říčany;14872;42360;15244;3980;68
2021-01-01 00:00:00;2021-03-31 00:00:00;2122;2022;Říčany;14872;42360;15244;5901;10353
2021-04-01 00:00:00;2021-06-30 00:00:00;2122;2022;Říčany;14872;42360;15244;764;42816
2021-07-01 00:00:00;2021-09-30 00:00:00;2122;2022;Říčany;14872;42360;15244;276;29112
2020-10-01 00:00:00;2020-12-31 00:00:00;6216;6416;Šlapanice;13195;40609;16336;3970;348
2021-01-01 00:00:00;2021-03-31 00:00:00;6216;6416;Šlapanice;13195;40609;16336;4263;11387
2021-04-01 00:00:00;2021-06-30 00:00:00;6216;6416;Šlapanice;13195;40609;16336;711;42697
2021-07-01 00:00:00;2021-09-30 00:00:00;6216;6416;Šlapanice;13195;40609;16336;155;21671
2020-10-01 00:00:00;2020-12-31 00:00:00;2120;2020;Příbram;10338;39422;19385;5215;34
2021-01-01 00:00:00;2021-03-31 00:00:00;2120;2020;Příbram;10338;39422;19385;5807;13848
2021-04-01 00:00:00;2021-06-30 00:00:00;2120;2020;Příbram;10338;39422;19385;642;47070
2021-07-01 00:00:00;2021-09-30 00:00:00;2120;2020;Příbram;10338;39422;19385;86;22019
2020-10-01 00:00:00;2020-12-31 00:00:00;7111;7111;Šumperk;10160;37872;19729;3559;13
2021-01-01 00:00:00;2021-03-31 00:00:00;7111;7111;Šumperk;10160;37872;19729;3730;9316
2021-04-01 00:00:00;2021-06-30 00:00:00;7111;7111;Šumperk;10160;37872;19729;910;40074
2021-07-01 00:00:00;2021-09-30 00:00:00;7111;7111;Šumperk;10160;37872;19729;87;18090
2020-10-01 00:00:00;2020-12-31 00:00:00;7203;7203;Kroměříž;10061;38114;19100;5637;19
2021-01-01 00:00:00;2021-03-31 00:00:00;7203;7203;Kroměříž;10061;38114;19100;3476;10689
2021-04-01 00:00:00;2021-06-30 00:00:00;7203;7203;Kroměříž;10061;38114;19100;927;41644
2021-07-01 00:00:00;2021-09-30 00:00:00;7203;7203;Kroměříž;10061;38114;19100;56;18621
2020-10-01 00:00:00;2020-12-31 00:00:00;2102;2002;Beroun;12016;38192;14996;3792;118
2021-01-01 00:00:00;2021-03-31 00:00:00;2102;2002;Beroun;12016;38192;14996;4931;11299
2021-04-01 00:00:00;2021-06-30 00:00:00;2102;2002;Beroun;12016;38192;14996;840;40573
2021-07-01 00:00:00;2021-09-30 00:00:00;2102;2002;Beroun;12016;38192;14996;301;23916
2020-10-01 00:00:00;2020-12-31 00:00:00;7212;7212;Vsetín;9614;37290;17512;5527;11
2021-01-01 00:00:00;2021-03-31 00:00:00;7212;7212;Vsetín;9614;37290;17512;3602;8207
2021-04-01 00:00:00;2021-06-30 00:00:00;7212;7212;Vsetín;9614;37290;17512;1565;36510
2021-07-01 00:00:00;2021-09-30 00:00:00;7212;7212;Vsetín;9614;37290;17512;193;17617
2020-10-01 00:00:00;2020-12-31 00:00:00;5214;5214;Trutnov;9320;35574;17474;4418;8
2021-01-01 00:00:00;2021-03-31 00:00:00;5214;5214;Trutnov;9320;35574;17474;7242;9819
2021-04-01 00:00:00;2021-06-30 00:00:00;5214;5214;Trutnov;9320;35574;17474;141;37586
2021-07-01 00:00:00;2021-09-30 00:00:00;5214;5214;Trutnov;9320;35574;17474;32;20780
2020-10-01 00:00:00;2020-12-31 00:00:00;8111;8011;Karviná;8350;35325;17337;4367;18
2021-01-01 00:00:00;2021-03-31 00:00:00;8111;8011;Karviná;8350;35325;17337;4420;8752
2021-04-01 00:00:00;2021-06-30 00:00:00;8111;8011;Karviná;8350;35325;17337;817;35561
2021-07-01 00:00:00;2021-09-30 00:00:00;8111;8011;Karviná;8350;35325;17337;73;17200
2020-10-01 00:00:00;2020-12-31 00:00:00;2101;2001;Benešov;10285;34257;16069;4868;49
2021-01-01 00:00:00;2021-03-31 00:00:00;2101;2001;Benešov;10285;34257;16069;5460;9722
2021-04-01 00:00:00;2021-06-30 00:00:00;2101;2001;Benešov;10285;34257;16069;679;38290
2021-07-01 00:00:00;2021-09-30 00:00:00;2101;2001;Benešov;10285;34257;16069;134;24635
2020-10-01 00:00:00;2020-12-31 00:00:00;6206;6406;Hodonín;8634;34631;16631;3252;25
2021-01-01 00:00:00;2021-03-31 00:00:00;6206;6406;Hodonín;8634;34631;16631;4053;8784
2021-04-01 00:00:00;2021-06-30 00:00:00;6206;6406;Hodonín;8634;34631;16631;904;37093
2021-07-01 00:00:00;2021-09-30 00:00:00;6206;6406;Hodonín;8634;34631;16631;82;16402
2020-10-01 00:00:00;2020-12-31 00:00:00;5209;5209;Náchod;9042;33216;17438;4865;11
2021-01-01 00:00:00;2021-03-31 00:00:00;5209;5209;Náchod;9042;33216;17438;6724;10635
2021-04-01 00:00:00;2021-06-30 00:00:00;5209;5209;Náchod;9042;33216;17438;221;41773
2021-07-01 00:00:00;2021-09-30 00:00:00;5209;5209;Náchod;9042;33216;17438;44;17258
2020-10-01 00:00:00;2020-12-31 00:00:00;6204;6404;Břeclav;8546;34195;16181;2415;139
2021-01-01 00:00:00;2021-03-31 00:00:00;6204;6404;Břeclav;8546;34195;16181;4037;10157
2021-04-01 00:00:00;2021-06-30 00:00:00;6204;6404;Břeclav;8546;34195;16181;434;34741
2021-07-01 00:00:00;2021-09-30 00:00:00;6204;6404;Břeclav;8546;34195;16181;106;16421
2020-10-01 00:00:00;2020-12-31 00:00:00;4205;4205;Litoměřice;9235;33537;15352;3916;29
2021-01-01 00:00:00;2021-03-31 00:00:00;4205;4205;Litoměřice;9235;33537;15352;4200;9693
2021-04-01 00:00:00;2021-06-30 00:00:00;4205;4205;Litoměřice;9235;33537;15352;715;36857
2021-07-01 00:00:00;2021-09-30 00:00:00;4205;4205;Litoměřice;9235;33537;15352;57;17973
2020-10-01 00:00:00;2020-12-31 00:00:00;3208;3208;Nýřany;9524;34109;13830;3464;5
2021-01-01 00:00:00;2021-03-31 00:00:00;3208;3208;Nýřany;9524;34109;13830;5819;8419
2021-04-01 00:00:00;2021-06-30 00:00:00;3208;3208;Nýřany;9524;34109;13830;515;37377
2021-07-01 00:00:00;2021-09-30 00:00:00;3208;3208;Nýřany;9524;34109;13830;212;19584
2020-10-01 00:00:00;2020-12-31 00:00:00;6201;6401;Blansko;9263;31608;15488;2805;191
2021-01-01 00:00:00;2021-03-31 00:00:00;6201;6401;Blansko;9263;31608;15488;4131;9565
2021-04-01 00:00:00;2021-06-30 00:00:00;6201;6401;Blansko;9263;31608;15488;746;35482
2021-07-01 00:00:00;2021-09-30 00:00:00;6201;6401;Blansko;9263;31608;15488;93;15524
2020-10-01 00:00:00;2020-12-31 00:00:00;5103;5103;Jablonec nad Nisou;9039;31452;14621;4191;5
2021-01-01 00:00:00;2021-03-31 00:00:00;5103;5103;Jablonec nad Nisou;9039;31452;14621;6326;9164
2021-04-01 00:00:00;2021-06-30 00:00:00;5103;5103;Jablonec nad Nisou;9039;31452;14621;573;34508
2021-07-01 00:00:00;2021-09-30 00:00:00;5103;5103;Jablonec nad Nisou;9039;31452;14621;99;17051
